StoreId,ProductId,Stock
1,1,47
1,2,38
1,3,28
1,4,91
1,5,24
1,6,46
1,7,78
1,8,52
1,9,20
1,10,73
1,11,26
1,12,53
1,13,86
1,14,53
1,15,62
1,16,25
1,17,25
1,18,95
1,19,49
1,20,56
1,21,80
1,22,25
1,23,42
1,24,52
1,25,87
1,26,41
1,27,97
1,28,79
1,29,74
1,30,29
1,31,73
1,32,54
1,33,76
1,34,71
1,35,48
1,36,57
1,37,62
1,38,76
1,39,29
1,40,92
1,41,66
1,42,42
1,43,72
1,44,35
1,45,78
1,46,37
1,47,37
1,48,49
1,49,46
1,50,87
2,1,73
2,2,64
2,3,55
2,4,25
2,5,61
2,6,41
2,7,95
2,8,76
2,9,23
2,10,82
2,11,49
2,12,99
2,13,77
2,14,90
2,15,20
2,16,71
2,17,77
2,18,35
2,19,24
2,20,25
2,21,62
2,22,49
2,23,86
2,24,57
2,25,90
2,26,57
2,27,53
2,28,26
2,29,74
2,30,70
2,31,23
2,32,68
2,33,53
2,34,87
2,35,56
2,36,28
2,37,98
2,38,70
2,39,29
2,40,27
2,41,61
2,42,86
2,43,72
2,44,46
2,45,62
2,46,66
2,47,65
2,48,81
2,49,35
2,50,26
3,1,60
3,2,21
3,3,44
3,4,41
3,5,45
3,6,43
3,7,78
3,8,98
3,9,34
3,10,24
3,11,88
3,12,89
3,13,21
3,14,53
3,15,78
3,16,81
3,17,66
3,18,90
3,19,53
3,20,91
3,21,72
3,22,26
3,23,26
3,24,97
3,25,63
3,26,75
3,27,77
3,28,59
3,29,94
3,30,44
3,31,92
3,32,71
3,33,90
3,34,68
3,35,30
3,36,22
3,37,43
3,38,31
3,39,61
3,40,32
3,41,50
3,42,20
3,43,55
3,44,24
3,45,39
3,46,72
3,47,85
3,48,38
3,49,67
3,50,81
4,1,20
4,2,75
4,3,48
4,4,43
4,5,53
4,6,53
4,7,94
4,8,47
4,9,77
4,10,69
4,11,66
4,12,38
4,13,24
4,14,90
4,15,32
4,16,36
4,17,98
4,18,52
4,19,43
4,20,76
4,21,58
4,22,54
4,23,48
4,24,40
4,25,61
4,26,72
4,27,70
4,28,22
4,29,78
4,30,91
4,31,89
4,32,58
4,33,92
4,34,32
4,35,44
4,36,36
4,37,43
4,38,67
4,39,35
4,40,76
4,41,27
4,42,95
4,43,53
4,44,92
4,45,65
4,46,31
4,47,95
4,48,65
4,49,92
4,50,22
5,1,74
5,2,52
5,3,95
5,4,90
5,5,43
5,6,65
5,7,46
5,8,27
5,9,82
5,10,80
5,11,82
5,12,92
5,13,69
5,14,86
5,15,79
5,16,28
5,17,46
5,18,91
5,19,66
5,20,95
5,21,93
5,22,50
5,23,37
5,24,66
5,25,69
5,26,62
5,27,20
5,28,56
5,29,74
5,30,50
5,31,76
5,32,25
5,33,29
5,34,75
5,35,36
5,36,57
5,37,63
5,38,22
5,39,89
5,40,78
5,41,90
5,42,35
5,43,85
5,44,54
5,45,94
5,46,34
5,47,45
5,48,67
5,49,32
5,50,57
6,1,85
6,2,24
6,3,98
6,4,96
6,5,29
6,6,43
6,7,34
6,8,48
6,9,40
6,10,81
6,11,64
6,12,90
6,13,52
6,14,52
6,15,23
6,16,76
6,17,82
6,18,94
6,19,69
6,20,42
6,21,65
6,22,44
6,23,22
6,24,87
6,25,25
6,26,77
6,27,65
6,28,83
6,29,72
6,30,55
6,31,36
6,32,53
6,33,44
6,34,37
6,35,64
6,36,72
6,37,27
6,38,33
6,39,66
6,40,93
6,41,42
6,42,35
6,43,81
6,44,27
6,45,34
6,46,99
6,47,83
6,48,52
6,49,50
6,50,37
7,1,51
7,2,51
7,3,97
7,4,89
7,5,92
7,6,61
7,7,21
7,8,31
7,9,91
7,10,51
7,11,77
7,12,50
7,13,75
7,14,85
7,15,64
7,16,30
7,17,66
7,18,34
7,19,87
7,20,51
7,21,69
7,22,69
7,23,47
7,24,76
7,25,99
7,26,49
7,27,62
7,28,94
7,29,72
7,30,25
7,31,93
7,32,33
7,33,53
7,34,55
7,35,23
7,36,84
7,37,56
7,38,54
7,39,44
7,40,23
7,41,71
7,42,95
7,43,41
7,44,34
7,45,36
7,46,91
7,47,59
7,48,96
7,49,63
7,50,24
8,1,53
8,2,68
8,3,65
8,4,99
8,5,68
8,6,82
8,7,24
8,8,41
8,9,89
8,10,62
8,11,98
8,12,26
8,13,58
8,14,86
8,15,58
8,16,64
8,17,97
8,18,39
8,19,82
8,20,79
8,21,74
