SaleDate,StoreId,ProductId,Quantity
2026-03-02,1,49,4
2026-03-05,27,1,5
2026-03-06,19,4,3
2026-03-02,1,40,2
2026-03-04,27,1,2
2026-03-03,3,13,3
2026-03-06,18,26,1
2026-03-05,8,19,5
2026-03-02,40,19,2
2026-03-03,25,20,2
2026-03-05,45,46,4
2026-03-03,47,40,4
2026-03-02,6,41,5
2026-03-06,30,39,2
2026-03-06,20,43,2
2026-03-01,46,14,4
2026-03-07,7,10,3
2026-03-05,28,45,1
2026-03-01,34,34,3
2026-03-01,29,12,5
2026-03-04,43,45,3
2026-03-03,19,7,4
2026-03-01,8,24,5
2026-03-05,8,16,4
2026-03-05,10,34,2
2026-03-06,18,2,4
2026-03-02,39,44,1
2026-03-07,18,5,2
2026-03-02,47,34,1
2026-03-01,36,19,4
2026-03-07,28,21,3
2026-03-01,46,21,5
2026-03-03,48,41,5
2026-03-07,2,10,1
2026-03-06,12,18,3
2026-03-04,1,36,4
2026-03-01,14,42,4
2026-03-04,7,35,5
2026-03-06,3,11,1
2026-03-07,27,29,2
2026-03-03,46,39,5
2026-03-04,8,17,1
2026-03-06,25,18,4
2026-03-03,40,7,5
2026-03-06,38,23,5
2026-03-01,36,25,2
2026-03-02,45,6,5
2026-03-06,1,13,2
2026-03-05,2,11,3
2026-03-02,38,6,5
2026-03-07,34,49,5
2026-03-06,46,28,1
2026-03-07,11,18,2
2026-03-01,38,12,4
2026-03-03,28,36,4
2026-03-01,25,17,4
2026-03-02,3,6,2
2026-03-05,27,38,1
2026-03-05,28,44,3
2026-03-06,25,23,2
2026-03-03,3,46,4
2026-03-05,3,11,5
2026-03-06,28,10,4
2026-03-01,24,42,3
2026-03-03,12,38,4
2026-03-06,12,24,2
2026-03-04,13,29,3
2026-03-07,42,46,5
2026-03-01,19,16,5
2026-03-05,37,4,1
2026-03-06,10,26,1
2026-03-03,4,4,1
2026-03-06,22,3,3
2026-03-06,36,28,1
2026-03-05,26,8,3
2026-03-04,35,3,5
2026-03-05,14,30,4
2026-03-02,43,44,4
2026-03-02,29,44,4
2026-03-06,22,3,2
2026-03-02,21,41,3
2026-03-06,20,9,2
2026-03-06,11,21,1
2026-03-05,34,36,1
2026-03-01,27,20,1
2026-03-04,21,2,5
2026-03-04,22,18,1
2026-03-06,47,19,1
2026-03-04,39,12,1
2026-03-07,30,11,2
2026-03-01,10,42,5
2026-03-04,41,2,3
2026-03-07,37,25,1
2026-03-01,49,45,4
2026-03-03,47,46,2
2026-03-01,1,28,5
2026-03-06,13,31,5
2026-03-03,32,14,3
2026-03-03,7,50,2
2026-03-05,5,23,4
2026-03-03,43,16,1
2026-03-04,9,6,3
2026-03-07,24,35,5
2026-03-05,44,11,1
2026-03-05,46,5,1
2026-03-02,11,4,2
2026-03-04,48,44,5
2026-03-07,31,9,2
2026-03-04,9,48,1
2026-03-05,22,24,4
2026-03-01,6,48,5
2026-03-07,15,43,3
2026-03-07,46,33,4
2026-03-01,13,27,1
2026-03-06,4,33,3
2026-03-03,10,26,2
